SpeciesID,CommonName,ScientificName,species_definition,taxonomic_source,taxonomic_id,kingdom,phylum,class,order,family,genus,rank,new_scientificName,new_scientificNameID,new_kingdom,new_phylum,new_class,new_order,new_family,new_genus,new_rank,match_type
A0,Abalone species,Haliotis spp.,"abalone, not identified to species level",WoRMS,138050,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Genus,Haliotis,138050.0,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Genus,exact
A1,Red Abalone,Haliotis rufescens,Haliotis rufescens,WoRMS,445357,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,Haliotis rufescens,445357.0,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,exact
A11,Flat Abalone,Haliotis walallensis,Haliotis walallensis,WoRMS,445374,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,Haliotis walallensis,445374.0,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,exact
A12,Pinto Abalone,Haliotis kamtschatkana,Haliotis kamtschatkana,WoRMS,405014,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,Haliotis kamtschatkana,405014.0,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,exact
A13,Green Abalone,Haliotis fulgens,Haliotis fulgens,WoRMS,445325,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,Haliotis fulgens,445325.0,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,exact
A14,Threaded Abalone,Haliotis kamtschatkana,Haliotis kamtschatkana (previously was designated subspecies assimilis),WoRMS,405014,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,Haliotis kamtschatkana,405014.0,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,exact
A15,Pink Abalone,Haliotis corrugata,Haliotis corrugata,WoRMS,445308,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,Haliotis corrugata,445308.0,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,exact
C0,Crab species,Brachyura,"crab, not identified beyond the infraorder level",WoRMS,106673,Animalia,Arthropoda,Malacostraca,Decapoda,,,Infraorder,Brachyura,106673.0,Animalia,Arthropoda,Malacostraca,Decapoda,,,Infraorder,exact
C1,Cancer species,Cancer spp.,"crab, not identified to species level",WoRMS,106876,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,Genus,Cancer,106876.0,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,Genus,exact
C11,Red Rock Crab,Cancer productus,Cancer productus,WoRMS,440382,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,Species,Cancer productus,440382.0,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,Species,exact
C12,Brown Rock Crab,Romaleon antennarium,Romaleon antennarium,WoRMS,440397,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Romaleon,Species,Romaleon antennarium,440397.0,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Romaleon,Species,exact
C21,Sharpnose Crab,Scyra acutifrons,Scyra acutifrons,WoRMS,441698,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Scyra,Species,Scyra acutifrons,441698.0,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Scyra,Species,exact
C22,Graceful Decorator Crab,Oregonia gracilis,Oregonia gracilis,WoRMS,442171,Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Oregonia,Species,Oregonia gracilis,442171.0,Animalia,Arthropoda,Malacostraca,Decapoda,Oregoniidae,Oregonia,Species,exact
C22.5,Decorator crab (general),Majoidea,"decorator crab, not identified beyond the super family level, Southern CA",WoRMS,106700,Animalia,Arthropoda,Malacostraca,Decapoda,,,Superfamily,Majoidea,106700.0,Animalia,Arthropoda,Malacostraca,Decapoda,,,Superfamily,exact
C23,Porcelain Crab,Petrolisthes spp.,"porcelain crab, not identified to species level",WoRMS,206848,Animalia,Arthropoda,Malacostraca,Decapoda,Porcellanidae,Petrolisthes,Genus,Petrolisthes,206848.0,Animalia,Arthropoda,Malacostraca,Decapoda,Porcellanidae,Petrolisthes,Genus,exact
C3,Kelp Crab,Pugettia spp.,"kelp crab, not identified to species level",WoRMS,240779,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Pugettia,Genus,Pugettia,240779.0,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Pugettia,Genus,exact
C31,Northern Kelp Crab,Pugettia producta,Pugettia producta,WoRMS,240780,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Pugettia,Species,Pugettia producta,240780.0,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Pugettia,Species,exact
C32,Graceful Kelp Crab,Pugettia gracilis,Pugettia gracilis,WoRMS,441478,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Pugettia,Species,Pugettia gracilis,441478.0,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Pugettia,Species,exact
C4,Hermit Crab,Paguroidea,"hermit crab, not identified beyond the super family level",WoRMS,106687,Animalia,Arthropoda,Malacostraca,Decapoda,,,Superfamily,Paguroidea,106687.0,Animalia,Arthropoda,Malacostraca,Decapoda,,,Superfamily,exact
C41,Hermit Crab,Pagurus spp.,"hermit crab, not identified to species level",WoRMS,106854,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,Genus,Pagurus,106854.0,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,Genus,exact
C5,Shrimp,Decapoda,"shrimp, Dendrobranchiata or Pleocyemata, not identified beyond the suborder level",WoRMS,1130,Animalia,Arthropoda,Malacostraca,Decapoda,,,Order,Decapoda,1130.0,Animalia,Arthropoda,Malacostraca,Decapoda,,,Order,exact
C51,Broken Back Shrimps,Hippolytidae,"broken back shrimp, not identified beyond the family level",WoRMS,106777,Animalia,Arthropoda,Malacostraca,Decapoda,Hippolytidae,,Family,Hippolytidae,106777.0,Animalia,Arthropoda,Malacostraca,Decapoda,Hippolytidae,,Family,exact
C6,Lithoid Crabs,Lithodidae,"lithoid crab, not identified beyond the family level",WoRMS,106737,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,,Family,Lithodidae,106737.0,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,,Family,exact
C61,Heart Crab,Phyllolithodes papillosus,Phyllolithodes papillosus,WoRMS,550606,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Phyllolithodes,Species,Phyllolithodes papillosus,550606.0,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Phyllolithodes,Species,exact
C62,Furry Crab,Hapalogaster cavicauda,Hapalogaster cavicauda,WoRMS,590108,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Hapalogaster,Species,Hapalogaster cavicauda,590108.0,Animalia,Arthropoda,Malacostraca,Decapoda,Lithodidae,Hapalogaster,Species,exact
C71,Purple shore crab,Hemigrapsus nudus,Hemigrapsus nudus,WoRMS,444776,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,Species,Hemigrapsus nudus,444776.0,Animalia,Arthropoda,Malacostraca,Decapoda,Varunidae,Hemigrapsus,Species,exact
C72,Lined Shore crab,Pachygrapsus crassipes,Pachygrapsus crassipes,WoRMS,395016,Animalia,Arthropoda,Malacostraca,Decapoda,Grapsidae,Pachygrapsus,Species,Pachygrapsus crassipes,395016.0,Animalia,Arthropoda,Malacostraca,Decapoda,Grapsidae,Pachygrapsus,Species,exact
C8,Sheep Crab,Loxorhynchus grandis,Loxorhynchus grandis,WoRMS,441602,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Loxorhynchus,Species,Loxorhynchus grandis,441602.0,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Loxorhynchus,Species,exact
C81,Masking crab,Loxorhynchus crispatus,Loxorhynchus crispatus,WoRMS,441601,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Loxorhynchus,Species,Loxorhynchus crispatus,441601.0,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Loxorhynchus,Species,exact
DA1,Dead Red Abalone,Haliotis rufescens,"Haliotus refuscens, sick/dead or empty shells. Code used following the 2011 harmful algal bloom event",WoRMS,445357,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,Haliotis rufescens,445357.0,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,exact
DA11,Dying Red Abalone,Haliotis rufescens,"Unattached Haliotus refuscens, responsive but not attached. After 2017 REAS surveys",WoRMS,445357,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,Haliotis rufescens,445357.0,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,exact
DA12,Dead Red Abalone (with meat),Haliotis rufescens,Haliotus refuscens shell with meat (freshly dead). After 2017 REAS surveys,WoRMS,445357,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,Haliotis rufescens,445357.0,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,exact
DC3,Dead Kelp Crab,Pugettia spp.,Sick/Dead kelp crab not identified beyond the genus level. Code used following the 2011 harmful algal bloom event.,WoRMS,240779,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Pugettia,Genus,Pugettia,240779.0,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Pugettia,Genus,exact
DG11,Dead Gumboot Chiton,Cryptochiton stelleri,Sick/Dead gumboot chiton. Code used following the 2011 harmful algal bloom event.,WoRMS,240776,Animalia,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Cryptochiton,Species,Cryptochiton stelleri,240776.0,Animalia,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Cryptochiton,Species,exact
DS1,Dead Pisaster species,Pisaster spp.,Sick/Dead Pisaster spp. not identified beyond genus level. Code used following the 2011 harmful algal bloom event.,WoRMS,240754,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,Genus,Pisaster,240754.0,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pisaster,Genus,exact
DS2,Dead Solaster species,Solaster spp.,Sick/Dead Solaster spp. not identified beyond genus level. Code used following the 2011 harmful algal bloom event.,WoRMS,123338,Animalia,Echinodermata,Asteroidea,Valvatida,Solasteridae,Solaster,Genus,Solaster,123338.0,Animalia,Echinodermata,Asteroidea,Valvatida,Solasteridae,Solaster,Genus,exact
DS31,Dead Leather Star,Dermasterias imbricata,Sick/Dead leather star. Code used following the 2011 harmful algal bloom event.,WoRMS,240771,Animalia,Echinodermata,Asteroidea,Valvatida,Asteropseidae,Dermasterias,Species,Dermasterias imbricata,240771.0,Animalia,Echinodermata,Asteroidea,Valvatida,Asteropseidae,Dermasterias,Species,exact
DS61,Dead Bat Star,Patiria miniata,Sick/Dead bat star. Code used following the 2011 harmful algal bloom event.,WoRMS,382131,Animalia,Echinodermata,Asteroidea,Valvatida,Asterinidae,Patiria,Species,Patiria miniata,382131.0,Animalia,Echinodermata,Asteroidea,Valvatida,Asterinidae,Patiria,Species,exact
DS81,Dead Rainbow Star,Orthasterias koehleri,Sick/Dead rainbow star. Code used following the 2011 harmful algal bloom event.,WoRMS,255048,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Orthasterias,Species,Orthasterias koehleri,255048.0,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Orthasterias,Species,exact
DS91,Dead Sunflower Star,Pycnopodia helianthoides,Sick/Dead sunflower star. Code used following the 2011 harmful algal bloom event.,WoRMS,240764,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pycnopodia,Species,Pycnopodia helianthoides,240764.0,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Pycnopodia,Species,exact
DU1,Dead Red Urchin,Strongylocentrotus franciscanus,"red urchin, sick/dead or empty shell. Code used following the 2011 harmful algal bloom event.",WoRMS,591102,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,Species,Strongylocentrotus franciscanus,591102.0,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,Species,exact
DU11,Dead Purple Urchin,Strongylocentrotus purpuratus,"purple urchin, sick/dead or empty shell. Code used following the 2011 harmful algal bloom event.",WoRMS,240747,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,Species,Strongylocentrotus purpuratus,240747.0,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,Species,exact
DU2,Dead Sea Cucumber,Holothuroidea,"sea cucumber not identified beyond class level, sick or dead. Code used following the 2011 harmful algal bloom event.",WoRMS,123083,Animalia,Echinodermata,Holothuroidea,,,,Class,Holothuroidea,123083.0,Animalia,Echinodermata,Holothuroidea,,,,Class,exact
EA1,Empty Red Abalone Shell,Haliotis rufescens,"red abalone, empty shell-no body",WoRMS,445357,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,Haliotis rufescens,445357.0,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,exact
EA11,Empty Flat Abalone Shell,Haliotis walallensis,"flat abalone, empty shell-no body.",WoRMS,445374,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,Haliotis walallensis,445374.0,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,exact
EA12,Empty Pinto Abalone Shell,Haliotis kamtschatkana,"pinto abalone, empty shell-no body.",WoRMS,405014,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,Haliotis kamtschatkana,405014.0,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Species,exact
EU11,Empty Purple Urchin Test,Strongylocentrotus purpuratus,"purple urchin, empty test.",WoRMS,240747,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,Species,Strongylocentrotus purpuratus,240747.0,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Strongylocentrotus,Species,exact
F1,Sculpin,Cottidae,"sculpin, not identified beyond the family level",WoRMS,125589,Animalia,Chordata,Teleostei,Perciformes,Cottidae,,Family,Cottidae,125589.0,Animalia,Chordata,Teleostei,Perciformes,Cottidae,,Family,exact
F11,Cabezon,Scorpaenichthys marmoratus,Scorpaenichthys marmoratus,WoRMS,282726,Animalia,Chordata,Teleostei,Perciformes,Jordaniidae,Scorpaenichthys,Species,Scorpaenichthys marmoratus,282726.0,Animalia,Chordata,Teleostei,Perciformes,Jordaniidae,Scorpaenichthys,Species,exact
F12,Scorpion Fish,Scorpaena guttata,Scorpaena guttata,WoRMS,274713,Animalia,Chordata,Teleostei,Perciformes,Scorpaenidae,Scorpaena,Species,Scorpaena guttata,274713.0,Animalia,Chordata,Teleostei,Perciformes,Scorpaenidae,Scorpaena,Species,exact
F2,Lingcod,Ophiodon elongatus,Ophiodon elongatus,WoRMS,240745,Animalia,Chordata,Teleostei,Perciformes,Hexagrammidae,Ophiodon,Species,Ophiodon elongatus,240745.0,Animalia,Chordata,Teleostei,Perciformes,Hexagrammidae,Ophiodon,Species,exact
F3,Rockfish,Sebastes spp.,"Rockfish, not identified beyond the genus level",WoRMS,126175,Animalia,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,Genus,Sebastes,126175.0,Animalia,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,Genus,exact
F31,Brown Rockfish,Sebastes auriculatus,Sebastes auriculatus,WoRMS,274773,Animalia,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,Species,Sebastes auriculatus,274773.0,Animalia,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,Species,exact
F32,Black Rockfish,Sebastes melanops,Sebastes melanops,WoRMS,274817,Animalia,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,Species,Sebastes melanops,274817.0,Animalia,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,Species,exact
F33,Copper Rockfish,Sebastes caurinus,Sebastes caurinus,WoRMS,274780,Animalia,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,Species,Sebastes caurinus,274780.0,Animalia,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,Species,exact
F34,Gopher Rockfish,Sebastes carnatus,Sebastes carnatus,WoRMS,274779,Animalia,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,Species,Sebastes carnatus,274779.0,Animalia,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,Species,exact
F35,Black and Yellow Rockfish,Sebastes chrysomelas,Sebastes chrysomelas,WoRMS,240737,Animalia,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,Species,Sebastes chrysomelas,240737.0,Animalia,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,Species,exact
F36,China Rockfish,Sebastes nebulosus,Sebastes nebulosus,WoRMS,274824,Animalia,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,Species,Sebastes nebulosus,274824.0,Animalia,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,Species,exact
F37,Blue Rockfish,Sebastes mystinus,Sebastes mystinus,WoRMS,274823,Animalia,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,Species,Sebastes mystinus,274823.0,Animalia,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,Species,exact
F38,Treefish,Sebastes serriceps,Sebastes serriceps,WoRMS,274853,Animalia,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,Species,Sebastes serriceps,274853.0,Animalia,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,Species,exact
F39,Bocaccio,Sebastes paucispinis,Sebastes paucispinis,WoRMS,274833,Animalia,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,Species,Sebastes paucispinis,274833.0,Animalia,Chordata,Teleostei,Perciformes,Sebastidae,Sebastes,Species,exact
F4,Surfperch,Embiotocidae,"Surfperch, not identified beyond the family level",WoRMS,151386,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,,Family,Embiotocidae,151386.0,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,,Family,exact
F41,Rubberlip Perch,Rhacochilus toxotes,Rhacochilus toxotes,WoRMS,282575,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Rhacochilus,Species,Rhacochilus toxotes,282575.0,Animalia,Chordata,Teleostei,Ovalentaria incertae sedis,Embiotocidae,Rhacochilus,Species,exact
F5,Sarcastic Fringehead,Neoclinus stephensae,Neoclinus stephensae,WoRMS,281685,Animalia,Chordata,Teleostei,Blenniiformes,Chaenopsidae,Neoclinus,Species,Neoclinus stephensae,281685.0,Animalia,Chordata,Teleostei,Blenniiformes,Chaenopsidae,Neoclinus,Species,exact
F6,Northern Clingfish,Gobiesox maeandricus,Gobiesox maeandricus,WoRMS,275671,Animalia,Chordata,Teleostei,Gobiesociformes,Gobiesocidae,Gobiesox,Species,Gobiesox maeandricus,275671.0,Animalia,Chordata,Teleostei,Gobiesociformes,Gobiesocidae,Gobiesox,Species,exact
F7,Snail Fish,Liparidae,"snail fish, not identified beyond the family level",WoRMS,234519,Animalia,Chordata,Teleostei,Perciformes,Liparidae,,Family,Liparidae,234519.0,Animalia,Chordata,Teleostei,Perciformes,Liparidae,,Family,exact
F8,Kelp Greenling,Hexagrammos decagrammus,Hexagrammos decagrammus,WoRMS,240732,Animalia,Chordata,Teleostei,Perciformes,Hexagrammidae,Hexagrammos,Species,Hexagrammos decagrammus,240732.0,Animalia,Chordata,Teleostei,Perciformes,Hexagrammidae,Hexagrammos,Species,exact
F81,Rock Greenling,Hexagrammos lagocephalus,Hexagrammos lagocephalus (prior species was superciliosus),WoRMS,240735,Animalia,Chordata,Teleostei,Perciformes,Hexagrammidae,Hexagrammos,Species,Hexagrammos lagocephalus,240735.0,Animalia,Chordata,Teleostei,Perciformes,Hexagrammidae,Hexagrammos,Species,exact
F82,Sheephead,Bodianus pulcher,"Bodianus pulcher, Southern CA (prior genus was Semicossyphus)",WoRMS,1702292,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Bodianus,Species,Bodianus pulcher,1702292.0,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Bodianus,Species,exact
F9,Gunnels,Pholidae,"gunnel, not identified beyond the family level",WoRMS,125550,Animalia,Chordata,Teleostei,Perciformes,Pholidae,,Family,Pholidae,125550.0,Animalia,Chordata,Teleostei,Perciformes,Pholidae,,Family,exact
F91,Monkeyface prickleback,Cebidichthys violaceus,Cebidichthys violaceus,WoRMS,280053,Animalia,Chordata,Teleostei,Perciformes,Cebidichthyidae,Cebidichthys,Species,Cebidichthys violaceus,280053.0,Animalia,Chordata,Teleostei,Perciformes,Cebidichthyidae,Cebidichthys,Species,exact
G1,Chiton,Polyplacophora,"chiton, not identified beyond the class level",WoRMS,55,Animalia,Mollusca,Polyplacophora,,,,Class,Polyplacophora,55.0,Animalia,Mollusca,Polyplacophora,,,,Class,exact
G11,Gumboot Chiton,Cryptochiton stelleri,Cryptochiton stelleri,WoRMS,240776,Animalia,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Cryptochiton,Species,Cryptochiton stelleri,240776.0,Animalia,Mollusca,Polyplacophora,Chitonida,Acanthochitonidae,Cryptochiton,Species,exact
G12,Lined Chiton,Tonicella lineata,Tonicella lineata,WoRMS,386441,Animalia,Mollusca,Polyplacophora,Chitonida,Tonicellidae,Tonicella,Species,Tonicella lineata,386441.0,Animalia,Mollusca,Polyplacophora,Chitonida,Tonicellidae,Tonicella,Species,exact
G13,Black chiton,Katharina tunicata,Katharina tunicata,WoRMS,386338,Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Katharina,Species,Katharina tunicata,386338.0,Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Katharina,Species,exact
G14,Mossy/Woody chiton,Mopalia spp.,"mossy or woody chiton, not identified beyond the genus level",WoRMS,385567,Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Mopalia,Genus,Mopalia,385567.0,Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Mopalia,Genus,exact
G2,Nudibranch,Nudibranchia,"Nudibranch, not identified beyond the family level",WoRMS,1762,Animalia,Mollusca,Gastropoda,Nudibranchia,,,Order,Nudibranchia,1762.0,Animalia,Mollusca,Gastropoda,Nudibranchia,,,Order,exact
G21,Clown Nudibranch,Triopha catalinae,Triopha catalinae (prior species was carpenteri),WoRMS,531258,Animalia,Mollusca,Gastropoda,Nudibranchia,Polyceridae,Triopha,Species,Triopha catalinae,531258.0,Animalia,Mollusca,Gastropoda,Nudibranchia,Polyceridae,Triopha,Species,exact
G22,Sea Lemon Nudibranch,Doris montereyensis,Doris montereyensis (prior genus was Archidoris),WoRMS,581816,Animalia,Mollusca,Gastropoda,Nudibranchia,Dorididae,Doris,Species,Doris montereyensis,581816.0,Animalia,Mollusca,Gastropoda,Nudibranchia,Dorididae,Doris,Species,exact
G23,Opalescent Nudibranch,Hermissenda crassicornis,Hermissenda crassicornis,WoRMS,367883,Animalia,Mollusca,Gastropoda,Nudibranchia,Myrrhinidae,Hermissenda,Species,Hermissenda crassicornis,367883.0,Animalia,Mollusca,Gastropoda,Nudibranchia,Myrrhinidae,Hermissenda,Species,exact
G24,Navanax nudibranch,Navanax inermis,Navanax inermis,WoRMS,367836,Animalia,Mollusca,Gastropoda,Cephalaspidea,Aglajidae,Navanax,Species,Navanax inermis,367836.0,Animalia,Mollusca,Gastropoda,Cephalaspidea,Aglajidae,Navanax,Species,exact
G25,Pleurobranch orange-spot,Aldisa cooperi,Aldisa cooperi,WoRMS,581809,Animalia,Mollusca,Gastropoda,Nudibranchia,Cadlinidae,Aldisa,Species,Aldisa cooperi,581809.0,Animalia,Mollusca,Gastropoda,Nudibranchia,Cadlinidae,Aldisa,Species,exact
G26,Hopkin's Rose nudibranch,Okenia rosacea,Okenia rosacea,WoRMS,599485,Animalia,Mollusca,Gastropoda,Nudibranchia,Goniodorididae,Okenia,Species,Okenia rosacea,1723348.0,Animalia,Mollusca,Gastropoda,Nudibranchia,Goniodorididae,Okenia,Species,exact
G3,Snail,Gastropoda,"sea snail, unidentified beyond the class level",WoRMS,101,Animalia,Mollusca,Gastropoda,,,,Class,Gastropoda,101.0,Animalia,Mollusca,Gastropoda,,,,Class,exact
G30,Turban species,Tegula spp.,"turban snail, not identified beyong the genus level",WoRMS,413467,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Tegula,Genus,Tegula,413467.0,Animalia,Mollusca,Gastropoda,Trochida,Tegulidae,Tegula,Genus,exact
